id,domain_id,project_id,gen_id,dev_start,active_start,active_end,status

taskrit-frontend,web,taskrit,,2026-03,2026-04,2026-04,Retired
taskrit-backend,web,taskrit,,2026-03,2026-04,2026-04,Retired
taskrit-teaming,ai,taskrit,,2026-03,2026-04,2026-04,Retired
taskrit-Chatting,web,taskrit,,2026-03,2026-04,2026-04,Retired
taskrit-asset,web,taskrit,,2026-03,2026-04,2026-04,Retired

organization-language-readme-stats,web,readme,,2025-11,2025-11,,Active
mc-ping-check,web,,,2025-11,2025-12,,Active
ets-readme-counter,web,readme,,2025-09,2025-10,,Active
hugo-protector,sec,,,2025-09,2025-12,,Active
asmr,web,,,2025-05,2026-05,,Active
humphreys-map,web,hump,,2025-10,,,In-Dev
lost-media-archive,web,,,2026-02,,,In-Dev
barracks-layout-simulator,web,hump,,2026-01,2026-02,,Active
zkzzk,web,,,2025-08,2025-09,,Active
katusa-landing,web,,,2026-04,2026-06,,Active
logics,cs,,2026-06,2026-06,,Active

c-practice,cs,,,2023-05,2023-06,2023-06,Retired
java-practice,cs,,,2023-05,2023-06,2023-06,Retired
r-practice,ai,,,2024-05,2024-06,2024-06,Retired
interpreter1,cs,,,2025-01,2025-02,2025-02,Retired
compiler1,cs,,,2025-01,2025-02,2025-02,Retired
bkscript2,cs,,,2025-01,2025-02,2025-02,Retired

y-bootcamp,ai,,,2024-07,2024-08,2024-08,Retired
y-student,ai,,,2024-04,2024-06,2024-06,Retired
dshs,ai,,,2024-08,2025-02,2025-02,Retired
y-grade1,web,,,2024-02,2024-02,2026-05,Retired
y-lteam2,web,,,2023-04,2023-11,2024-01,Retired
py-copycheck,util,,,2023-10,2023-10,2026-05,Retired
dev-history,web,,,2026-04,2026-05,,Active
kzip-lite,web,,,2026-06,2026-06,,Active

k1-kdm,sec,kutil1,gen1,2021-05,2021-06,2021-10,Retired
k1-time,util,kutil1,gen1,2021-05,2021-06,2021-10,Retired
k1-graph,cs,kutil1,gen1,2020-07,2020-08,2022-05,Retired
k2-kdm,sec,kutil2,gen2,2021-09,2021-10,2022-12,Retired
k2-time,util,kutil2,gen2,2021-09,2021-10,2022-12,Retired
k2-bkscript,cs,kutil2,gen2,2022-04,2022-05,2022-12,Retired
k2-this-is-bk,web,kutil2,gen2,2023-03,2023-04,2026-04,Retired
k3-lib,sec,kutil3,gen3,2022-11,2022-12,2025-01,Retired
k3-kdm,sec,kutil3,gen3,2022-11,2022-12,2023-06,Retired
k3-time,util,kutil3,gen3,2022-11,2022-12,2025-02,Retired
k4-lib,sec,kutil4,gen4,2023-04,2023-05,2025-01,Retired
k4-kdm,sec,kutil4,gen4,2023-05,2023-06,2025-02,Retired
k4-kv,sec,kutil4,gen4,2023-05,2023-07,2025-02,Retired
k4-kaesl,sec,kutil4,gen4,2023-05,2023-07,2023-09,Retired
k4-kcom,sec,kutil4,gen4,2023-05,2023-08,2023-10,Retired

k5-lib,sec,realuse5,gen5,2024-05,2024-11,2026-07,Retired
k5-websvr,web,realuse5,gen5,2025-02,2025-02,2025-03,Retired
k5-signtool,sec,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-manager,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-clock,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-convs,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-kdm,sec,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-kv,sec,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-kmap,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-kmacro,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-kpwm,sec,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-kscript,cs,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-ksync,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-tlog,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired
k5-ext,util,realuse5,gen5,2024-11,2025-02,2026-07,Retired

k6-linecount,util,kutil6,gen6,2025-10,2025-11,2026-04,Retired
k6-localhub,web,kutil6,gen6,2025-10,2025-11,2026-05,Retired
k6-unitconv,sec,kutil6,gen6,2025-10,2025-11,2026-05,Retired

usag-lib,sec,usag,gen7,2025-12,2026-04,,Active
usag-kox,util,usag,gen7,2026-01,2026-06,,Active
aft,sec,usag,gen7,2026-02,2026-05,,Active
metrics,sec,usag,gen7,2026-05,2026-05,,Active
yas-desktop,sec,usag,gen7,2026-02,2026-05,,Active
yas-web,sec,usag,gen7,2026-04,,,In-Dev
yas-web-lite,sec,usag,gen7,2026-02,2026-04,,Active
yas-android,sec,usag,gen7,2026-05,2026-06,,Active
fc-desktop,sec,usag,gen7,2026-06,,,In-Dev
fc-android,sec,usag,gen7,2026-06,,,In-Dev

connhub,web,why,gen7,2026-02,2026-05,,Active
mediahub,web,why,gen7,2026-07,,,In-Dev

k7-powerlog,util,ets7,gen7,2026-07,,,In-Dev
k7-testlog,util,ets7,gen7,2026-07,,,In-Dev
k7-thetime,util,ets7,gen7,2026-07,,,In-Dev
k7-syncit,util,ets7,gen7,2026-07,,,In-Dev
k7-picit,util,ets7,gen7,2026-07,,,In-Dev
k7-imgconv,util,ets7,gen7,2026-07,,,In-Dev
k7-fileconv,util,ets7,gen7,2026-07,,,In-Dev
