id,name,color
readme,Readme Deco,#edcf26
hump,Humphreys App,#b014db
kutil1,Kutil1,#1537e6
kutil2,Kutil2,#1537e6
kutil3,Kutil3,#1537e6
kutil4,Kutil4,#22e6c2
realuse5,RealUse5,#4dacf0
kutil6,Kutil6,#de740b
usag,USAG,#4d7bfa
ets7,ETS7,#4dacf0
